epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.38573,2.04611,2.42936,2.31019,0.51592,0.54985,0.64436,0.36265,1.53321,3.38278,1.92808,0.00022848,0.00022848,0.00022848
2,18.3719,1.81433,2.04099,2.01245,0.7823,0.55755,0.69138,0.40629,1.50406,1.57798,1.93122,0.000462012,0.000462012,0.000462012
3,26.141,1.81713,2.00605,1.99719,0.72586,0.66551,0.67125,0.37037,1.58772,1.41744,1.89601,0.000693423,0.000693423,0.000693423
4,33.965,1.78768,1.9546,1.97846,0.42968,0.63948,0.6709,0.36324,1.62024,1.70199,1.91613,0.000704361,0.000704361,0.000704361
5,41.6477,1.77621,1.94009,1.95664,0.59175,0.50479,0.58925,0.34504,1.48536,1.56595,1.83241,0.000701148,0.000701148,0.000701148
6,49.3836,1.7441,1.88141,1.92499,0.60654,0.55747,0.55813,0.31446,1.66556,1.75563,1.98793,0.000697935,0.000697935,0.000697935
7,57.1519,1.73836,1.82791,1.88747,0.59434,0.61979,0.65794,0.38799,1.73188,1.59322,2.1558,0.000694722,0.000694722,0.000694722
8,65.1712,1.68526,1.75716,1.86856,0.6993,0.63776,0.6912,0.40927,1.49514,1.50524,1.84729,0.000691509,0.000691509,0.000691509
9,73.823,1.68894,1.78157,1.85128,0.8408,0.41092,0.56129,0.30053,1.64721,1.58314,1.99548,0.000688296,0.000688296,0.000688296
10,81.5344,1.69432,1.76994,1.86628,0.63393,0.49143,0.69242,0.39082,1.6321,1.57679,1.95817,0.000685083,0.000685083,0.000685083
11,89.6276,1.66411,1.69776,1.83565,0.82467,0.56187,0.74047,0.50064,1.3808,1.19051,1.76496,0.00068187,0.00068187,0.00068187
12,97.8939,1.66453,1.67923,1.81515,0.87394,0.52524,0.73952,0.40907,1.48508,1.29974,1.74024,0.000678657,0.000678657,0.000678657
13,105.579,1.63547,1.62638,1.80299,0.69725,0.53471,0.65579,0.35557,1.53547,1.45183,1.86741,0.000675444,0.000675444,0.000675444
14,113.691,1.62945,1.68527,1.81203,0.78325,0.58089,0.7287,0.43708,1.39385,1.26665,1.78194,0.000672231,0.000672231,0.000672231
15,121.404,1.62082,1.65405,1.79846,0.61992,0.49982,0.71352,0.41393,1.48439,1.32555,1.8594,0.000669018,0.000669018,0.000669018
16,129.174,1.63826,1.6466,1.809,0.65372,0.55199,0.67465,0.36364,1.5406,1.43315,1.87514,0.000665805,0.000665805,0.000665805
17,136.956,1.6175,1.60904,1.76651,0.694,0.53861,0.68729,0.38232,1.47234,1.48346,1.76113,0.000662592,0.000662592,0.000662592
