epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7,1.55694,0.83414,1.18295,0.81179,0.8836,0.85349,0.39819,1.82211,0.91286,1.24551,0.000552802,0.000552802,0.000552802
2,54.3064,1.53028,0.82459,1.1736,0.81166,0.91627,0.88453,0.42034,1.82306,0.85636,1.21805,0.0010975,0.0010975,0.0010975
3,79.4634,1.54503,0.84889,1.18062,0.81552,0.84881,0.8616,0.39244,1.88093,0.91953,1.25866,0.00163119,0.00163119,0.00163119
4,103.993,1.55057,0.85626,1.1748,0.83139,0.82424,0.815,0.32673,2.07832,0.89565,1.35287,0.00161749,0.00161749,0.00161749
5,128.658,1.54312,0.83207,1.18071,0.82437,0.86528,0.85715,0.3566,1.95423,0.89244,1.29018,0.00160099,0.00160099,0.00160099
6,153.541,1.56067,0.85098,1.1852,0.81811,0.86508,0.84646,0.35225,2.0446,0.85774,1.32344,0.00158448,0.00158448,0.00158448
7,178.147,1.51787,0.8258,1.17119,0.84584,0.89377,0.86782,0.39021,1.84627,0.85633,1.24741,0.00156798,0.00156798,0.00156798
8,203.69,1.5047,0.80409,1.15887,0.85498,0.83735,0.84362,0.37451,1.90763,0.91563,1.26273,0.00155148,0.00155148,0.00155148
9,229.359,1.52007,0.81022,1.16883,0.79914,0.92691,0.8615,0.40712,1.77385,0.85446,1.22911,0.00153497,0.00153497,0.00153497
10,255.043,1.50085,0.80111,1.15769,0.82813,0.84349,0.85085,0.36725,1.92505,0.89841,1.25943,0.00151847,0.00151847,0.00151847
11,281.092,1.49805,0.80148,1.16257,0.83929,0.91258,0.88161,0.3965,1.80505,0.91582,1.23368,0.00150197,0.00150197,0.00150197
12,307.19,1.48304,0.77794,1.15574,0.80316,0.86546,0.85266,0.37832,1.83277,0.85708,1.24448,0.00148546,0.00148546,0.00148546
13,333.095,1.4687,0.77507,1.13796,0.8135,0.90278,0.86896,0.39288,1.88634,0.84734,1.24285,0.00146896,0.00146896,0.00146896
14,358.503,1.45496,0.7636,1.1295,0.86549,0.80441,0.85377,0.38865,1.82292,0.89164,1.24182,0.00145246,0.00145246,0.00145246
15,384.015,1.45848,0.7711,1.13686,0.78774,0.88067,0.86425,0.39047,1.85106,0.87948,1.24902,0.00143595,0.00143595,0.00143595
16,409.55,1.45754,0.76192,1.14243,0.83121,0.84106,0.87079,0.40488,1.83642,0.83212,1.25737,0.00141945,0.00141945,0.00141945
17,435.059,1.44572,0.75485,1.1347,0.83862,0.87218,0.88395,0.41305,1.78345,0.90366,1.21374,0.00140295,0.00140295,0.00140295
18,460.587,1.44233,0.74947,1.13466,0.82587,0.87597,0.89353,0.41294,1.77873,0.81939,1.21511,0.00138644,0.00138644,0.00138644
19,486.052,1.41359,0.73273,1.1224,0.77865,0.90827,0.86114,0.38908,1.84372,0.82513,1.25291,0.00136994,0.00136994,0.00136994
20,511.668,1.42159,0.74736,1.12389,0.79995,0.91977,0.87677,0.40395,1.80974,0.87258,1.23546,0.00135344,0.00135344,0.00135344
21,537.134,1.4033,0.72024,1.11337,0.81865,0.90103,0.88749,0.40248,1.85405,0.83562,1.26283,0.00133693,0.00133693,0.00133693
22,562.601,1.41794,0.73828,1.12421,0.80797,0.90188,0.87022,0.39882,1.80758,0.8284,1.24851,0.00132043,0.00132043,0.00132043
