epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8401,1.44277,0.99952,1.27837,0.875,0.81781,0.87685,0.52907,1.31244,0.70784,1.1212,0.000551359,0.000551359,0.000551359
2,49.139,1.35258,0.82478,1.20243,0.90476,0.80432,0.87774,0.57184,1.34015,0.74475,1.14981,0.00110018,0.00110018,0.00110018
3,70.5377,1.34816,0.81903,1.20107,0.96429,0.75236,0.86662,0.55328,1.3004,0.71821,1.16158,0.00164212,0.00164212,0.00164212
4,92.0266,1.34702,0.81249,1.21013,0.98611,0.73819,0.8676,0.56589,1.35142,0.7355,1.17844,0.00163606,0.00163606,0.00163606
5,113.309,1.34182,0.7998,1.21153,0.91288,0.67409,0.81958,0.54877,1.32823,0.79386,1.14668,0.00162574,0.00162574,0.00162574
6,134.686,1.31688,0.77355,1.19669,0.84875,0.88192,0.89374,0.55528,1.33855,0.85926,1.16752,0.00161543,0.00161543,0.00161543
7,157.068,1.31486,0.75405,1.20045,0.93243,0.80499,0.8868,0.5545,1.33206,0.75948,1.15782,0.00160511,0.00160511,0.00160511
8,177.699,1.29735,0.74738,1.1931,0.90909,0.7247,0.8491,0.52861,1.36321,0.75462,1.16224,0.0015948,0.0015948,0.0015948
9,199.704,1.283,0.72361,1.1832,0.90476,0.69906,0.83673,0.56767,1.30511,0.76068,1.15492,0.00158448,0.00158448,0.00158448
10,221.69,1.28565,0.72112,1.17899,0.9452,0.89609,0.93686,0.59346,1.2751,0.65124,1.16412,0.00157417,0.00157417,0.00157417
11,244.771,1.2869,0.71736,1.1905,0.98333,0.52969,0.76103,0.49567,1.35748,0.69945,1.16041,0.00156385,0.00156385,0.00156385
12,267.45,1.2734,0.70472,1.17036,0.9375,0.81714,0.89984,0.60171,1.24953,0.68128,1.13536,0.00155354,0.00155354,0.00155354
13,289.244,1.27445,0.70373,1.16947,0.89331,0.85762,0.92803,0.58617,1.2831,0.7972,1.1304,0.00154323,0.00154323,0.00154323
14,312.143,1.25711,0.68855,1.17827,0.9697,0.81849,0.9019,0.58489,1.28934,0.71892,1.16436,0.00153291,0.00153291,0.00153291
15,334.908,1.24733,0.69793,1.17164,0.93083,0.88394,0.93227,0.60018,1.31124,0.64382,1.16521,0.0015226,0.0015226,0.0015226
16,356.926,1.24499,0.67668,1.1627,0.96053,0.84345,0.91805,0.57874,1.36524,0.65145,1.16187,0.00151228,0.00151228,0.00151228
17,380.009,1.23849,0.66568,1.1682,0.91747,0.84345,0.90612,0.57205,1.3636,0.64649,1.18709,0.00150197,0.00150197,0.00150197
18,402.974,1.22632,0.66717,1.15946,0.95,0.68556,0.81913,0.49955,1.38301,0.61565,1.19679,0.00149165,0.00149165,0.00149165
19,424.474,1.22208,0.66258,1.14262,0.91111,0.76383,0.86345,0.54617,1.31106,0.70558,1.15221,0.00148134,0.00148134,0.00148134
20,447.045,1.22005,0.66017,1.15997,0.9359,0.88327,0.93096,0.57517,1.34802,0.71744,1.18532,0.00147102,0.00147102,0.00147102
21,470.139,1.21681,0.65776,1.15877,0.90244,0.71255,0.82978,0.53873,1.2643,0.69117,1.13846,0.00146071,0.00146071,0.00146071
22,492.956,1.21071,0.64562,1.1494,0.90217,0.94804,0.94919,0.57634,1.35986,0.68006,1.16861,0.00145039,0.00145039,0.00145039
23,516.086,1.20286,0.63715,1.15077,1,0.6363,0.81814,0.52936,1.28359,0.73753,1.16493,0.00144008,0.00144008,0.00144008
24,538.369,1.20891,0.63158,1.15107,0.89676,0.89676,0.93497,0.57346,1.35799,0.69029,1.19879,0.00142977,0.00142977,0.00142977
25,561.613,1.21782,0.63753,1.15917,0.96053,0.81714,0.89914,0.544,1.3432,0.67656,1.18276,0.00141945,0.00141945,0.00141945
26,584.824,1.19028,0.62336,1.14446,0.98438,0.79217,0.89398,0.57747,1.33731,0.66922,1.19684,0.00140914,0.00140914,0.00140914
27,607.078,1.18487,0.62729,1.13715,0.94444,0.80499,0.89046,0.52384,1.41957,0.7254,1.25791,0.00139882,0.00139882,0.00139882
28,629.9,1.18869,0.61552,1.14102,0.95,0.85628,0.91987,0.58456,1.29382,0.64134,1.14558,0.00138851,0.00138851,0.00138851
29,651.704,1.17939,0.62313,1.12175,0.97297,0.81714,0.90273,0.57183,1.29863,0.60667,1.11504,0.00137819,0.00137819,0.00137819
30,674.452,1.1656,0.64985,1.13008,0.91463,0.80432,0.88712,0.5518,1.34741,0.72212,1.17334,0.00136788,0.00136788,0.00136788
31,697.415,1.18146,0.61395,1.13603,0.92683,0.86977,0.92414,0.53758,1.33657,0.69406,1.16844,0.00135756,0.00135756,0.00135756
32,719.609,1.17582,0.60999,1.13474,0.90278,0.81916,0.89126,0.56182,1.32823,0.83108,1.19012,0.00134725,0.00134725,0.00134725
33,741.659,1.16159,0.59743,1.12654,0.96774,0.68758,0.83967,0.55129,1.31397,0.69612,1.16012,0.00133693,0.00133693,0.00133693
34,763.953,1.1635,0.60438,1.1239,0.9375,0.81714,0.90291,0.58273,1.31094,0.63384,1.19241,0.00132662,0.00132662,0.00132662
35,786.445,1.16578,0.60036,1.12751,0.95946,0.83063,0.90825,0.55212,1.31579,0.64195,1.15391,0.0013163,0.0013163,0.0013163
36,808.472,1.14304,0.58698,1.12361,0.9125,0.87045,0.9283,0.56611,1.27696,0.70533,1.15325,0.00130599,0.00130599,0.00130599
37,830.808,1.13783,0.59568,1.12144,0.98333,0.74022,0.86712,0.53917,1.31653,0.75159,1.1803,0.00129568,0.00129568,0.00129568
38,854.141,1.14344,0.59567,1.12373,0.94576,0.83131,0.90788,0.57745,1.33668,0.62956,1.22864,0.00128536,0.00128536,0.00128536
39,876.1,1.13612,0.58653,1.10629,0.87755,0.89541,0.91841,0.54758,1.32928,0.73532,1.18284,0.00127505,0.00127505,0.00127505
40,897.805,1.12986,0.58523,1.10804,0.95475,0.77868,0.87825,0.54433,1.37604,0.71323,1.19629,0.00126473,0.00126473,0.00126473
41,920.33,1.11614,0.57653,1.10835,0.94595,0.89676,0.94207,0.57881,1.36191,0.64791,1.20104,0.00125442,0.00125442,0.00125442
42,942.654,1.13749,0.58274,1.11087,0.96053,0.86977,0.92992,0.57425,1.33093,0.59502,1.17392,0.0012441,0.0012441,0.0012441
43,965.26,1.12232,0.57605,1.10566,0.94286,0.71323,0.84657,0.51703,1.36666,0.70316,1.20876,0.00123379,0.00123379,0.00123379
44,987.562,1.11442,0.57424,1.10394,0.94139,0.73819,0.85597,0.5304,1.3483,0.60459,1.18606,0.00122347,0.00122347,0.00122347
45,1010.39,1.10361,0.56377,1.10022,0.95833,0.81781,0.90459,0.57432,1.29922,0.59743,1.19405,0.00121316,0.00121316,0.00121316
46,1032.48,1.09587,0.56494,1.09653,0.90909,0.80364,0.88153,0.53178,1.37298,0.65222,1.20211,0.00120284,0.00120284,0.00120284
47,1055.52,1.1073,0.56658,1.09482,0.92928,0.84345,0.91021,0.5663,1.3459,0.61822,1.18835,0.00119253,0.00119253,0.00119253
48,1077.64,1.09933,0.56142,1.09109,0.92683,0.79082,0.88699,0.54614,1.38611,0.63477,1.23053,0.00118222,0.00118222,0.00118222
49,1101.1,1.0875,0.55977,1.09371,0.94018,0.81781,0.87937,0.53865,1.3311,0.66184,1.19867,0.0011719,0.0011719,0.0011719
50,1124.27,1.0771,0.54931,1.09102,0.92142,0.88259,0.93438,0.55173,1.41188,0.6437,1.24555,0.00116159,0.00116159,0.00116159
51,1147.05,1.07541,0.54559,1.09267,0.94096,0.72672,0.85286,0.52042,1.34562,0.73169,1.19796,0.00115127,0.00115127,0.00115127
52,1171.12,1.08636,0.54838,1.10014,0.89869,0.83131,0.89811,0.52518,1.35599,0.65332,1.19877,0.00114096,0.00114096,0.00114096
53,1193.02,1.07474,0.55526,1.07261,0.92708,0.81781,0.89812,0.52769,1.37566,0.61849,1.22685,0.00113064,0.00113064,0.00113064
54,1215.39,1.06378,0.54316,1.07687,0.9147,0.81781,0.8932,0.55705,1.30744,0.65281,1.16723,0.00112033,0.00112033,0.00112033
55,1243.47,1.04921,0.53731,1.07625,0.94937,0.80432,0.8907,0.56096,1.34386,0.68196,1.2094,0.00111001,0.00111001,0.00111001
56,1268.74,1.0518,0.54,1.07413,0.90777,0.85628,0.90916,0.56501,1.34503,0.60798,1.2208,0.0010997,0.0010997,0.0010997
57,1292.64,1.04544,0.53192,1.07712,0.9359,0.85695,0.91857,0.54673,1.38826,0.69621,1.2256,0.00108938,0.00108938,0.00108938
58,1316.81,1.04794,0.53899,1.07449,0.92857,0.90891,0.94502,0.58712,1.31072,0.64989,1.19046,0.00107907,0.00107907,0.00107907
59,1339.88,1.04762,0.53104,1.06081,0.97059,0.75236,0.87319,0.55188,1.34106,0.64184,1.20796,0.00106876,0.00106876,0.00106876
60,1365.01,1.02731,0.51904,1.07222,0.97143,0.84413,0.91829,0.56016,1.36267,0.62467,1.23697,0.00105844,0.00105844,0.00105844
61,1388.55,1.02993,0.51963,1.06717,0.9359,0.778,0.87354,0.57173,1.29449,0.63805,1.17497,0.00104813,0.00104813,0.00104813
62,1412.25,1.03389,0.52619,1.06422,0.95946,0.7678,0.87931,0.54515,1.34007,0.65373,1.20124,0.00103781,0.00103781,0.00103781
