epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,330.509,1.59884,1.30461,1.52234,0.69351,0.54483,0.63896,0.35484,1.68722,1.30503,1.6058,0.0669695,0.000266375,0.000266375
2,651.768,1.55717,1.09796,1.49185,0.77015,0.68059,0.7629,0.4613,1.53783,0.93696,1.51786,0.0339027,0.000532912,0.000532912
3,970.525,1.53483,1.03235,1.47096,0.70673,0.74616,0.7769,0.47817,1.523,0.8984,1.4994,0.000835357,0.000798927,0.000798927
4,1289.29,1.50877,0.97303,1.45062,0.78972,0.70654,0.80352,0.50444,1.50626,0.84037,1.4635,0.000798243,0.000798243,0.000798243
5,1607.91,1.47389,0.91249,1.42165,0.79669,0.75027,0.81985,0.51672,1.48781,0.81293,1.45856,0.000796877,0.000796877,0.000796877
6,1928.36,1.44995,0.8733,1.4151,0.78283,0.7753,0.8328,0.5267,1.48699,0.80583,1.4738,0.000795125,0.000795125,0.000795125
7,2252.59,1.41928,0.83865,1.38983,0.81036,0.80214,0.8624,0.54447,1.48136,0.76674,1.43978,0.000792986,0.000792986,0.000792986
8,2569.99,1.40739,0.81793,1.38498,0.85893,0.79249,0.87465,0.57104,1.44143,0.73798,1.42592,0.000790463,0.000790463,0.000790463
9,2886.69,1.39206,0.80006,1.37547,0.84437,0.81947,0.87213,0.5662,1.45628,0.74359,1.46566,0.000787559,0.000787559,0.000787559
10,3205.34,1.37744,0.77746,1.36515,0.85198,0.83929,0.89266,0.5834,1.43373,0.70938,1.43902,0.000784276,0.000784276,0.000784276
11,3520.01,1.35894,0.75811,1.35682,0.85544,0.83292,0.89058,0.58265,1.46065,0.70557,1.43237,0.000780618,0.000780618,0.000780618
12,3838.48,1.34636,0.74214,1.34731,0.85512,0.85184,0.89839,0.58633,1.44488,0.70194,1.42837,0.000776589,0.000776589,0.000776589
13,4157.7,1.31867,0.72914,1.33267,0.82145,0.84021,0.87547,0.58325,1.43195,0.72362,1.42636,0.000772191,0.000772191,0.000772191
14,4476.12,1.31341,0.71443,1.32575,0.84986,0.84425,0.89158,0.58883,1.44688,0.70352,1.42183,0.000767431,0.000767431,0.000767431
15,4794.79,1.29116,0.70565,1.31843,0.84359,0.84532,0.89948,0.58743,1.47737,0.69964,1.45625,0.000762312,0.000762312,0.000762312
