epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.68377,2.22698,4.13678,1.72275,0,0,0,0,1.90324,3.87736,1.59812,0.0003333,0.0003333,0.0003333
2,15.9943,2.15889,2.93285,1.62397,0,0,0,0,1.99485,3.71757,1.74539,0.000671001,0.000671001,0.000671001
3,21.9993,2.12823,2.45129,1.65543,0,0,0,0,2.07141,3.18593,1.76367,0.00100188,0.00100188,0.00100188
4,28.1162,2.08658,2.4169,1.62958,0.25,0.0119,0.13095,0.07857,2.01829,2.09121,1.82719,0.001078,0.001078,0.001078
5,33.8383,2.02604,2.16609,1.55951,0.14583,0.08333,0.12691,0.05746,2.1778,2.37023,1.80323,0.001067,0.001067,0.001067
6,39.5098,2.02379,2.0309,1.59263,0.70899,0.33494,0.50131,0.18777,2.07851,1.80673,1.72553,0.00105601,0.00105601,0.00105601
7,45.7431,1.96505,1.94574,1.54051,0.65625,0.13874,0.40397,0.19528,2.15219,1.85868,1.80621,0.00104501,0.00104501,0.00104501
8,52.0096,1.93675,1.90878,1.56195,0.80833,0.29808,0.56811,0.2178,2.10234,1.79949,1.76592,0.00103401,0.00103401,0.00103401
9,58.3454,1.94725,1.79597,1.53082,0.62121,0.19368,0.4107,0.17246,2.15649,1.84395,1.8274,0.00102301,0.00102301,0.00102301
10,64.5267,1.91383,1.71458,1.51323,0.91667,0.20719,0.56523,0.24668,2.05984,1.98826,1.7624,0.00101201,0.00101201,0.00101201
11,70.7793,1.87886,1.70989,1.51058,0.81248,0.44414,0.63954,0.28583,1.97787,1.5177,1.65125,0.00100101,0.00100101,0.00100101
12,76.4611,1.87114,1.62421,1.48642,1,0.17376,0.58687,0.2985,1.81998,1.48275,1.58039,0.000990012,0.000990012,0.000990012
13,82.2629,1.82306,1.63113,1.4711,0.65,0.2793,0.46965,0.24488,1.96475,1.49732,1.66772,0.000979013,0.000979013,0.000979013
14,88.0027,1.82304,1.51502,1.4527,0.70387,0.28365,0.51401,0.25462,2.00015,1.45744,1.68504,0.000968014,0.000968014,0.000968014
15,94.5641,1.80257,1.5046,1.50104,0.65625,0.23512,0.45428,0.24294,2.00478,1.58517,1.73865,0.000957015,0.000957015,0.000957015
